Index,Name,Lastname,Adress,Phone,Zipcode
1,Eliška,Gašparová,"Slovakia, Tvrdošín, Loaf, Komárno, 46490",0989 638 890,59 650
2,Oto,Ružičková,"Slovakia, Komárno, Union, Košice-okolie, 124 76",0941 887 866,88081
3,Dorota,Rybníčeková,"Slovakia, Tvrdošín, Expressway, Partizánske, 64887",0979 256 328,10666
4,Gustáv,Lukáčová,"Slovakia, Rožňava, Parkway, Prešov, 38027",0999 352 550,48617
5,Tomáš,Hanková,"Slovakia, Piešťany, Centers, Topoľčany, 659 05",0918 655 693,44202
6,Ladislav,Švehlová,"Slovakia, Revúca, Gardens, Poprad, 34 989",0921 818 575,906 11
7,Linda,Baran,"Slovakia, Trnava, Road, Revúca, 24184",0963 329 609,17 010
8,Klaudia,Zimka,"Slovakia, Michalovce, Hills, Malacky, 960 69",0985 105 638,75855
9,Alan,Paško,"Slovakia, Partizánske, Mission, Námestovo, 41857",0960 549 112,722 04
10,Barbora,Uram,"Slovakia, Pezinok, Grove, Levoča, 669 92",0963 472 958,24 312
11,Nikola,Tatárkaová,"Slovakia, Humenné, Isle, Rimavská Sobota, 59140",0919 030 558,11787
12,Vincent,Lisický,"Slovakia, Považská Bystrica, Lakes, Galanta, 15737",0940 507 367,584 94
13,Oliver,Šmajda,"Slovakia, Malacky, Valleys, Púchov, 98460",0996 087 389,153 35
14,Gašpar,Zúbrik,"Slovakia, Revúca, Stream, Topoľčany, 477 50",0910 862 667,05 520
15,Dagmara,Podkonická,"Slovakia, Sabinov, Rapid, Bratislava I, 693 17",0990 197 248,15264
16,Dagmara,Zima,"Slovakia, Detva, Trafficway, Turčianske Teplice, 993 16",0906 733 065,401 31
17,Sergej,Marián,"Slovakia, Košice-okolie, Motorway, Košice III, 30352",0911 924 849,52360
18,Maximilián,Jurkovičová,"Slovakia, Spišská Nová Ves, Drive, Svidník, 79674",0976 715 819,98506
19,Júlia,Hanko,"Slovakia, Dunajská Streda, Gardens, Martin, 37958",0900 007 442,10775
20,Oskar,Romančíková,"Slovakia, Nové Mesto n.Váhom, Station, Komárno, 56 191",0985 951 711,593 65
Evaluation Only. Created with Aspose.Cells for .NET.Copyright 2003 - 2024 Aspose Pty Ltd.
